id,stock_id,price,recorded_at
655138aa-faf6-4847-ac2d-26bb75ec756b,acf36fb5-ec39-4375-841a-88efc7bbc035,108.09,2026-08-17 18:00:00
b8e5cc56-eb23-4000-bbb9-07690b4f0d49,acf36fb5-ec39-4375-841a-88efc7bbc035,93.88,2026-07-01 06:00:00
95e6fc32-069b-45cc-bfc9-5d82b6535ba9,d18c7826-60c9-4189-b923-60c28a010526,197.62,2026-08-30 19:00:00
ab9fed28-1755-4cad-b031-dd784a09eac7,d18c7826-60c9-4189-b923-60c28a010526,187.16,2026-07-30 21:00:00
fc3a6ab2-f36b-49e6-82be-c6f86660c920,d79aad10-0e76-45f7-88f9-d8d94f526c39,442.77,2026-07-03 10:00:00
3af9b559-ca11-43aa-8809-9aa72a181113,d79aad10-0e76-45f7-88f9-d8d94f526c39,467.62,2026-08-17 20:00:00
397708b8-b24b-41dc-86ee-53e880c9069b,c28809f4-b3d7-4630-8eff-7ce62dea33cf,232.83,2026-07-02 11:00:00
75fb7b99-4500-4c7a-84e4-2ae6a8defad9,c28809f4-b3d7-4630-8eff-7ce62dea33cf,238.28,2026-07-09 22:00:00
a4576c27-682f-47fe-a007-8b29034849a3,ff5a6c89-f044-420d-8f44-4efb72f8efc2,801.14,2026-08-19 05:00:00
9ecaeab9-f243-4774-8f54-247c2e19bf8c,ff5a6c89-f044-420d-8f44-4efb72f8efc2,796.23,2026-08-03 15:00:00
b700fb0f-7569-407e-a3d3-fc0c2e5c058f,5d254ea7-14f3-46a4-8f1e-48dc69d28d15,739.55,2026-08-08 00:00:00
adac0e03-b40e-44c3-9323-0e9760bc5f49,5d254ea7-14f3-46a4-8f1e-48dc69d28d15,720.4,2026-07-24 02:00:00
1b18f712-982b-457c-a1cf-f1766476bd0f,dfd545be-1a88-466c-ba54-1108e932dbc9,283.51,2026-08-26 23:00:00
af23808d-01c8-4fd7-9ea2-d5ab6f9e1090,dfd545be-1a88-466c-ba54-1108e932dbc9,318.1,2026-08-29 22:00:00
6f30e6ad-d07f-4bf5-a287-d5e94e773dc5,81721a6c-bb8f-49b6-ae5f-a4b542eaa476,522.44,2026-07-31 15:00:00
